Date,Time,Booking ID,Booking Status,Customer ID,Vehicle Type,Pickup Location,Drop Location,Avg VTAT,Avg CTAT,Canceled Rides by Customer,Reason for Canceling by Customer,Canceled Rides by Driver,Reason for Canceling by Driver,Incomplete Rides,Incomplete Rides Reason,Ride Distance,Driver Ratings,Customer Rating,Booking Value
2025-02-25,03:51:00,CNR5504782822,Incomplete,CUST75425,Prime Plus,Kammanahalli,Kanakapura Road,,,0,,0,,1,,,,,
2025-02-09,16:40:00,CNR3253789959,Success,CUST38166,Mini,Koramangala,Hennur,5.25291854258897,14.4884037427764,0,,0,,0,,26.863050638979,3.6,4.1,1146
2025-02-11,11:10:00,CNR8972285069,Success,CUST58509,Prime Sedan,RT Nagar,Banashankari,10.7630756235015,3.92789615889985,0,,0,,0,,12.1543822747581,3.8,3.5,206
2025-02-04,00:05:00,CNR5192849379,Success,CUST37690,Auto,Ulsoor,Marathahalli,14.448712475026,11.4188118139513,0,,0,,0,,10.0185718674367,4.7,4.8,133
2025-02-02,00:37:00,CNR9906394440,Success,CUST74907,Mini,Benson Town,Electronic City,7.01209516444985,10.8249903691427,0,,0,,0,,21.5520169230824,3.8,4.6,436
2025-02-28,20:44:00,CNR6222409731,Success,CUST27911,Bike,JP Nagar,Kanakapura Road,6.80947272212474,18.7547056108129,0,,0,,0,,15.8434262456846,4.4,3.5,373
2025-02-13,08:23:00,CNR9701351100,Success,CUST22352,Auto,Varthur,Vijayanagar,2.24610507641774,9.70633348336381,0,,0,,0,,24.5831295946243,3.1,4.2,464
2025-02-08,13:07:00,CNR6755195355,Customer Canceled,CUST73264,eBike,Fraser Town,Jakkur,,,1,Change of plans,0,,0,,,,,
2025-02-23,18:06:00,CNR4806872266,Success,CUST32388,Prime SUV,Chikbanavara,Brookefield,6.91195352509406,5.34810883525688,0,,0,,0,,21.6367353048947,4.2,4,1390
2025-02-13,11:05:00,CNR1328807313,Driver Canceled,CUST96158,Prime SUV,Hennur,Varthur,,,0,,1,Customer was coughing/sick,0,,,,,
2025-02-02,16:12:00,CNR4131595753,Driver Canceled,CUST96578,eBike,Sarjapur,Kanakapura Road,,,0,,1,Personal & Car related issue,0,,,,,
2025-02-10,11:52:00,CNR8264480906,Success,CUST23946,eBike,Richmond Town,Girinagar,2.16533357917049,10.8086097817025,0,,0,,0,,26.7312497924417,4.3,3.7,806
2025-02-21,00:48:00,CNR4137037044,Driver Canceled,CUST68250,Prime SUV,Fraser Town,Basaveshwaranagar,,,0,,1,Customer was coughing/sick,0,,,,,
2025-02-19,17:01:00,CNR2480171070,Driver Canceled,CUST54108,Auto,Kaggadasapura,Richmond Town,,,0,,1,Personal & Car related issue,0,,,,,
2025-02-16,13:22:00,CNR8089488609,Success,CUST90795,Bike,Whitefield,Sadashivanagar,8.47891790055553,9.32819543297959,0,,0,,0,,8.26820630490776,4.1,3.8,1140
2025-02-06,10:53:00,CNR7872046080,Success,CUST87091,Prime Sedan,Arekere,Koramangala,11.7922176237516,2.24921739793282,0,,0,,0,,20.3520605423151,4.9,3.8,108
2025-02-20,14:22:00,CNR8435394779,Success,CUST74891,Prime Sedan,Hoodi,Jakkur,6.02386548126381,3.93552831516833,0,,0,,0,,16.8484921939273,3,3.3,201
2025-02-12,04:55:00,CNR7944511319,Success,CUST95423,Auto,Varthur,Electronic City,8.36198549976342,4.8651257193901,0,,0,,0,,5.12473928805778,4,4.1,314
2025-02-04,23:30:00,CNR1326026987,Success,CUST72614,Prime Plus,Sadashivanagar,Arekere,5.93990355779824,19.7120490095925,0,,0,,0,,18.817389922608,4.6,3.3,163
2025-02-08,22:05:00,CNR9098846814,Driver Canceled,CUST73725,Bike,Hulimavu,Bagmane Tech Park,,,0,,1,Customer was coughing/sick,0,,,,,
2025-02-11,00:45:00,CNR4675119314,Driver Canceled,CUST77981,eBike,Kaggadasapura,Basaveshwaranagar,,,0,,1,,0,,,,,
2025-02-28,10:03:00,CNR3989132121,Customer Canceled,CUST79496,Mini,Indiranagar,Electronic City,,,1,Wrong Address,0,,0,,,,,
2025-02-03,10:47:00,CNR1908741323,Success,CUST16611,Bike,Richmond Town,Banashankari,4.01727439344488,6.13402010998123,0,,0,,0,,6.11088390760956,4,4.4,149
2025-02-18,21:24:00,CNR7143815337,Success,CUST21805,Prime SUV,Sarjapur,Ramamurthy Nagar,5.25025617833262,9.64137475398642,0,,0,,0,,15.4788681618035,3.1,4.4,271
2025-02-20,04:42:00,CNR5212936641,Driver Canceled,CUST35254,eBike,Whitefield,Sarjapur,,,0,,1,Customer was coughing/sick,0,,,,,
2025-02-09,00:22:00,CNR1031765513,Driver Canceled,CUST54042,eBike,Hoodi,Fraser Town,,,0,,1,More than permitted people in there,0,,,,,
